seedResourceAcquisitionFitness,trials,seedSurvivalChance,error
0.9,200,0.0,0.0
0.95,200,0.0,0.0
1.0,200,0.015,0.022139398962041448
1.05,200,0.075,0.04797374030111925
1.1,200,0.155,0.0659168257093268
1.15,200,0.255,0.07938716778481913
1.2,200,0.295,0.08306300682606507
1.25,200,0.395,0.08903859879931414
1.3,200,0.43,0.09017242252790758
1.35,200,0.495,0.09106476480616083
1.4,200,0.505,0.09106476480616083
1.45,200,0.53,0.09090524581437487
1.5,200,0.6,0.08922934450742903
1.55,200,0.56,0.0904112416265706
1.6,200,0.665,0.0859677000475324
1.65,200,0.655,0.08658293017147689
1.7,200,0.675,0.08530915665533878
1.75,200,0.71,0.08264760160313989
1.8,200,0.675,0.08530915665533878
1.85,200,0.735,0.08038382876747996
1.9,200,0.75,0.0788683432275421
1.95,200,0.815,0.07072398938899638
2.0,200,0.76,0.07778833910125182
2.05,200,0.79,0.07418656704921112
2.1,200,0.785,0.07482662206184887
2.15,200,0.835,0.06760631920189475
2.2,200,0.835,0.06760631920189475
2.25,200,0.85,0.06503650192892463
2.3,200,0.905,0.05340576912997319
2.35,200,0.865,0.0622410656473783
2.4,200,0.86,0.06319974488726021
2.45,200,0.885,0.058106221765355404
2.5,200,0.855,0.06413116660842855
2.55,200,0.895,0.05583522222043036
2.6,200,0.9,0.05464159103155353
2.65,200,0.9,0.05464159103155353
2.7,200,0.95,0.039696195570136705
2.75,200,0.945,0.04152401418685803
2.8,200,0.93,0.04647212975141557
2.85,200,0.935,0.044901884199166076
2.9,200,0.965,0.033473394860657035
2.95,200,0.91,0.052124755712791404
3.0,200,0.95,0.039696195570136705
3.05,200,0.9,0.05464159103155353
3.1,200,0.94,0.04325552960591261
3.15,200,0.935,0.044901884199166076
3.2,200,0.97,0.031070523900452507
3.25,200,0.98,0.025499409148058372
3.3,200,0.96,0.035691737802971635
3.35,200,0.975,0.02843638555177963
3.4,200,0.945,0.04152401418685803
3.45,200,0.965,0.033473394860657035
3.5,200,0.965,0.033473394860657035
3.55,200,0.965,0.033473394860657035
3.6,200,0.955,0.037758090618361995
3.65,200,0.965,0.033473394860657035
3.7,200,0.955,0.037758090618361995
3.75,200,0.99,0.01812256553997116
3.8,200,0.97,0.031070523900452507
3.85,200,0.985,0.022139398962041423
3.9,200,0.95,0.039696195570136705
3.95,200,0.97,0.031070523900452507
4.0,200,0.985,0.022139398962041423
