seedResourceAcquisitionFitness,resilience,trials,seedSurvivalChance,error
1.0,0.0,20,0.0,0.0
1.0,0.4,20,0.5,0.319862212961857
1.0,0.8,20,0.8,0.25588977036948557
1.0,0.9,20,0.8,0.25588977036948557
1.0,0.99,20,1.0,0.0
1.1,0.0,20,0.1,0.1919173277771142
1.1,0.4,20,0.5,0.319862212961857
1.1,0.8,20,0.95,0.13942470621580205
1.1,0.9,20,0.85,0.2284273100862434
1.1,0.99,20,1.0,0.0
1.2,0.0,20,0.15,0.22842731008624326
1.2,0.4,20,0.6,0.3133996839015989
1.2,0.8,20,0.85,0.2284273100862434
1.2,0.9,20,0.9,0.19191732777711412
1.2,0.99,20,1.0,0.0
1.5,0.0,20,0.5,0.319862212961857
1.5,0.4,20,0.75,0.2770088021356763
1.5,0.8,20,1.0,0.0
1.5,0.9,20,1.0,0.0
1.5,0.99,20,1.0,0.0
2.0,0.0,20,0.75,0.2770088021356763
2.0,0.4,20,0.85,0.2284273100862434
2.0,0.8,20,1.0,0.0
2.0,0.9,20,0.95,0.13942470621580205
2.0,0.99,20,1.0,0.0
3.0,0.0,20,0.95,0.13942470621580205
3.0,0.4,20,0.9,0.19191732777711412
3.0,0.8,20,1.0,0.0
3.0,0.9,20,1.0,0.0
3.0,0.99,20,1.0,0.0
