seedResourceAcquisitionFitness,turn,seedPopulation,error
1.0,0,1.0,0.0
1.0,1,1.75,0.25073022413477797
1.0,2,3.08,0.6015319783962383
1.0,3,5.29,1.2483049230132996
1.0,4,9.55,2.4659109599539306
1.0,5,17.49,4.917675059025925
1.0,6,28.81,8.22014046324195
1.0,7,48.03,13.408494470028415
1.0,8,74.4,20.072239716627834
1.0,9,106.66,27.852022400459333
1.0,10,143.95,36.579394927599225
1.0,11,183.16,45.17785368591362
1.0,12,219.53,52.2045741015867
1.0,13,243.9,55.57247106338531
1.0,14,260.28,57.50564251509002
1.0,15,269.36,58.24837481098456
1.0,16,273.66,58.21422345960215
1.0,17,277.22,58.14161515975718
1.0,18,278.81,58.17697031387286
1.0,19,280.16,58.204711568409834
1.0,20,280.97,58.10131677090092
1.0,21,281.37,58.006448094771514
1.0,22,281.97,57.91689560010616
1.0,23,281.95,57.88178318917056
1.0,24,282.05,57.84923103091421
1.0,25,282.43,57.78121117802672
1.0,26,282.61,57.74985051013559
1.0,27,282.97,57.68606910514541
1.0,28,283.16,57.64653866026049
1.0,29,283.33,57.61664428576532
1.0,30,283.35,57.6133429018044
1.0,31,283.59,57.57727100614554
1.0,32,283.42,57.60214577305857
1.0,33,283.52,57.58711564005981
1.0,34,283.49,57.59150533513866
1.0,35,283.61,57.57456062341262
1.0,36,283.43,57.60059162001647
1.0,37,283.55,57.58282827459655
1.0,38,283.55,57.58282827459655
1.0,39,283.55,57.58282827459655
1.0,40,283.55,57.58282827459655
1.0,41,283.55,57.58282827459655
1.0,42,283.55,57.58282827459655
1.0,43,283.55,57.58282827459655
1.0,44,283.55,57.58282827459655
1.0,45,283.55,57.58282827459655
1.0,46,283.55,57.58282827459655
1.0,47,283.55,57.58282827459655
1.0,48,283.55,57.58282827459655
1.0,49,283.55,57.58282827459655
1.0,50,283.55,57.58282827459655
1.1,0,1.0,0.0
1.1,1,1.58,0.29183134302317204
1.1,2,2.74,0.6025679062099845
1.1,3,5.03,1.2694710198813692
1.1,4,9.27,2.6184556012073017
1.1,5,16.65,5.0172996045203
1.1,6,29.64,9.233514194121806
1.1,7,49.25,14.71420366663208
1.1,8,76.01,21.555566933492585
1.1,9,109.4,29.40275019782645
1.1,10,146.09,37.47767187267027
1.1,11,183.2,43.76775903347442
1.1,12,213.61,48.9744735365731
1.1,13,237.21,52.86422988831819
1.1,14,252.47,54.87631836800037
1.1,15,257.94,55.2966760325493
1.1,16,259.2,55.045671098949185
1.1,17,260.77,54.81658712957869
1.1,18,261.99,54.6077938014912
1.1,19,262.97,54.451379887251534
1.1,20,263.81,54.33183866539781
1.1,21,263.67,54.30652209766879
1.1,22,264.6,54.17197452389749
1.1,23,264.44,54.18901250886185
1.1,24,264.67,54.15420066631992
1.1,25,264.94,54.09415488994671
1.1,26,265.03,54.08466838111869
1.1,27,264.99,54.07865740851793
1.1,28,265.1,54.045115961209916
1.1,29,264.99,54.077185111555366
1.1,30,265.3,53.99113339381134
1.1,31,265.25,54.00237499734527
1.1,32,265.57,53.91402414679055
1.1,33,265.73,53.874882845812834
1.1,34,265.65,53.89205415320214
1.1,35,266.12,53.77426367162494
1.1,36,266.12,53.77720013633706
1.1,37,266.22,53.74514080662135
1.1,38,266.27,53.72910551187249
1.1,39,266.21,53.7483716099041
1.1,40,266.1,53.77289680365331
1.1,41,266.11,53.77497454521921
1.1,42,266.39,53.70531696223742
1.1,43,266.71,53.63130592868356
1.1,44,266.52,53.66873075199527
1.1,45,266.75,53.61811747738872
1.1,46,266.49,53.68316861252555
1.1,47,266.96,53.56903743785375
1.1,48,266.77,53.61498023893881
1.1,49,266.79,53.60570357156544
1.1,50,267.04,53.549452076682655
1.2,0,1.0,0.0
1.2,1,1.96,0.293508939331768
1.2,2,3.67,0.7632934595765075
1.2,3,6.87,1.6207903152903311
1.2,4,12.15,3.047626269632575
1.2,5,22.69,5.921012490368806
1.2,6,39.66,10.12108988985954
1.2,7,65.57,15.974887773173414
1.2,8,100.38,23.16341709461996
1.2,9,139.85,31.07467436762535
1.2,10,182.52,39.03540736901158
1.2,11,219.69,45.38454363307113
1.2,12,242.52,48.3311038990297
1.2,13,254.2,48.8770380761934
1.2,14,261.44,49.437772043384086
1.2,15,265.6,49.3724328506043
1.2,16,268.01,49.59171175978395
1.2,17,270.82,49.67652772134511
1.2,18,271.79,49.506652454268135
1.2,19,272.35,49.42492750007867
1.2,20,272.89,49.26415996122941
1.2,21,272.97,49.248555621072796
1.2,22,273.62,49.08935689139156
1.2,23,273.33,49.159633830336304
1.2,24,274.0,48.984743010880834
1.2,25,274.43,48.88557925885499
1.2,26,274.26,48.918431707848754
1.2,27,274.17,48.92432367459395
1.2,28,274.24,48.90819721537858
1.2,29,274.39,48.86059495966114
1.2,30,274.24,48.89732962466235
1.2,31,274.62,48.805036305376575
1.2,32,274.79,48.75946620361498
1.2,33,274.47,48.834890304651395
1.2,34,274.8,48.74756786832256
1.2,35,275.07,48.66563398174745
1.2,36,275.0,48.68700335859421
1.2,37,275.13,48.649289958150604
1.2,38,275.22,48.621213379221444
1.2,39,275.05,48.663249672642024
1.2,40,275.47,48.560434920222235
1.2,41,275.09,48.64906410872334
1.2,42,275.75,48.48299753101577
1.2,43,275.68,48.4995330981221
1.2,44,275.37,48.57452234161582
1.2,45,275.74,48.48250822149038
1.2,46,275.57,48.52403351243149
1.2,47,276.08,48.40001329152767
1.2,48,275.95,48.43210368608078
1.2,49,275.57,48.52389677800386
1.2,50,275.85,48.45734506085134
1.5,0,1.0,0.0
1.5,1,2.0,0.38378992240895404
1.5,2,4.15,0.9945336649893948
1.5,3,9.18,2.4249432199469494
1.5,4,20.27,5.645693124790302
1.5,5,39.93,10.583007463079912
1.5,6,71.34,17.615667799052417
1.5,7,110.34,25.190641868632895
1.5,8,155.35,33.88627293916437
1.5,9,194.1,39.80789810883019
1.5,10,221.98,43.91466375294155
1.5,11,236.74,45.060739759371245
1.5,12,245.53,45.15900350482147
1.5,13,248.78,45.13118424734435
1.5,14,251.26,44.92465806764625
1.5,15,251.88,44.80308785463217
1.5,16,252.98,44.632558854372036
1.5,17,253.34,44.54920751497423
1.5,18,252.96,44.63347961999014
1.5,19,253.37,44.5111599743754
1.5,20,253.5,44.4889867083248
1.5,21,253.65,44.44039972586319
1.5,22,253.3,44.52227625757149
1.5,23,253.39,44.5024426052903
1.5,24,253.46,44.486017615543346
1.5,25,253.53,44.46793800929635
1.5,26,253.74,44.42039284625204
1.5,27,253.69,44.431908592752194
1.5,28,253.67,44.436617528712816
1.5,29,253.7,44.429576113888004
1.5,30,253.7,44.429576113888004
1.5,31,253.83,44.400588996912774
1.5,32,253.73,44.42266666142601
1.5,33,253.59,44.45603930365215
1.5,34,253.59,44.45603930365215
1.5,35,253.82,44.40273068836916
1.5,36,253.69,44.431908592752194
1.5,37,253.69,44.431908592752194
1.5,38,253.69,44.431908592752194
1.5,39,253.69,44.431908592752194
1.5,40,253.69,44.431908592752194
1.5,41,253.69,44.431908592752194
1.5,42,253.69,44.431908592752194
1.5,43,253.69,44.431908592752194
1.5,44,253.69,44.431908592752194
1.5,45,253.69,44.431908592752194
1.5,46,253.69,44.431908592752194
1.5,47,253.69,44.431908592752194
1.5,48,253.69,44.431908592752194
1.5,49,253.69,44.431908592752194
1.5,50,253.69,44.431908592752194
2.0,0,1.0,0.0
2.0,1,2.62,0.3834094014134575
2.0,2,6.78,1.2145137598037463
2.0,3,17.07,3.287439423543802
2.0,4,37.98,7.318889784598365
2.0,5,73.95,13.394281418931676
2.0,6,122.66,20.713743032916312
2.0,7,173.25,28.205892493151424
2.0,8,219.19,34.50555197796268
2.0,9,245.13,38.054016722328555
2.0,10,252.83,38.6713235536582
2.0,11,257.93,39.206867903743614
2.0,12,259.81,40.07822690764871
2.0,13,259.85,40.051261217273805
2.0,14,260.21,39.94659158708623
2.0,15,260.69,39.81468436628998
2.0,16,260.53,39.855021222247444
2.0,17,260.61,39.8354295299651
2.0,18,260.6,39.836713752232356
2.0,19,260.38,39.89682343177745
2.0,20,260.48,39.86963553436897
2.0,21,260.47,39.87228102555514
2.0,22,260.47,39.87228102555514
2.0,23,260.47,39.87228102555514
2.0,24,260.47,39.87228102555514
2.0,25,260.47,39.87228102555514
2.0,26,260.47,39.87228102555514
2.0,27,260.47,39.87228102555514
2.0,28,260.47,39.87228102555514
2.0,29,260.47,39.87228102555514
2.0,30,260.47,39.87228102555514
2.0,31,260.47,39.87228102555514
2.0,32,260.47,39.87228102555514
2.0,33,260.47,39.87228102555514
2.0,34,260.47,39.87228102555514
2.0,35,260.47,39.87228102555514
2.0,36,260.47,39.87228102555514
2.0,37,260.47,39.87228102555514
2.0,38,260.47,39.87228102555514
2.0,39,260.47,39.87228102555514
2.0,40,260.47,39.87228102555514
2.0,41,260.47,39.87228102555514
2.0,42,260.47,39.87228102555514
2.0,43,260.47,39.87228102555514
2.0,44,260.47,39.87228102555514
2.0,45,260.47,39.87228102555514
2.0,46,260.47,39.87228102555514
2.0,47,260.47,39.87228102555514
2.0,48,260.47,39.87228102555514
2.0,49,260.47,39.87228102555514
2.0,50,260.47,39.87228102555514
3.0,0,1.0,0.0
3.0,1,3.66,0.49843461790754295
3.0,2,12.29,1.9159374359786376
3.0,3,35.68,5.527285559073626
3.0,4,80.3,11.203613897626951
3.0,5,138.98,17.43731728087934
3.0,6,195.33,24.505629788308084
3.0,7,235.27,29.42613811458841
3.0,8,247.26,30.988171192155534
3.0,9,251.12,31.232103549486794
3.0,10,250.84,31.347148814666923
3.0,11,250.85,31.35097230163629
3.0,12,250.77,31.377065935326897
3.0,13,250.89,31.337457052249817
3.0,14,250.84,31.35584678029727
3.0,15,250.84,31.35584678029727
3.0,16,250.84,31.35584678029727
3.0,17,250.84,31.35584678029727
3.0,18,250.84,31.35584678029727
3.0,19,250.84,31.35584678029727
3.0,20,250.84,31.35584678029727
3.0,21,250.84,31.35584678029727
3.0,22,250.84,31.35584678029727
3.0,23,250.84,31.35584678029727
3.0,24,250.84,31.35584678029727
3.0,25,250.84,31.35584678029727
3.0,26,250.84,31.35584678029727
3.0,27,250.84,31.35584678029727
3.0,28,250.84,31.35584678029727
3.0,29,250.84,31.35584678029727
3.0,30,250.84,31.35584678029727
3.0,31,250.84,31.35584678029727
3.0,32,250.84,31.35584678029727
3.0,33,250.84,31.35584678029727
3.0,34,250.84,31.35584678029727
3.0,35,250.84,31.35584678029727
3.0,36,250.84,31.35584678029727
3.0,37,250.84,31.35584678029727
3.0,38,250.84,31.35584678029727
3.0,39,250.84,31.35584678029727
3.0,40,250.84,31.35584678029727
3.0,41,250.84,31.35584678029727
3.0,42,250.84,31.35584678029727
3.0,43,250.84,31.35584678029727
3.0,44,250.84,31.35584678029727
3.0,45,250.84,31.35584678029727
3.0,46,250.84,31.35584678029727
3.0,47,250.84,31.35584678029727
3.0,48,250.84,31.35584678029727
3.0,49,250.84,31.35584678029727
3.0,50,250.84,31.35584678029727
